Frigo,Week,Data,P1,P2,P3,P4,W,PW
1,1,,,,,,mule,Zamazenta
2,1,,,,,,mule,Duraludon
3,1,,,,,,spite,Spiritomb
4,1,,,,,,eppol,Arceus-Ground
5,1,,,,,,spite,Slowking
6,1,,,,,,spite,Gyarados
7,1,,,,,,felaco,Polteageist
8,1,,,,,,felaco,Jirachi
9,1,,,,,,marviglio,Bastiodon
10,1,,,,,,marviglio,Latios
11,1,,,,,,fraraga,Garganacl
12,1,,,,,,grimama,Appletun
13,1,,,,,,marviglio,Dipplin
14,1,,,,,,defava,Cobalion
15,1,,,,,,felaco,Chi-Yu
16,1,,,,,,marviglio,Probopass
17,1,,,,,,marviglio,Palossand
18,2,,,,,,marviglio,Giratina
19,2,,,,,,felaco,Sandaconda
20,2,,,,,,eppol,Palossand
21,2,,,,,,felaco,Oricorio
22,2,,,,,,marviglio,Sylveon
23,2,,,,,,fraraga,Palkia-Origin
24,2,,,,,,fraraga,Hippowdon
25,2,,,,,,fraraga,Gumshoos
26,2,,,,,,defava,Cresselia
27,2,,,,,,fraraga,Exeggutor-Alola
28,2,,,,,,felaco,Vileplume
29,2,,,,,,fraraga,Skarmory
30,2,,,,,,marviglio,Chesnaught
31,2,,,,,,defava,Regice
32,2,,,,,,felaco,Lugia
33,2,,,,,,marviglio,Torkoal
34,3,,,,,,marviglio,Skarmory
35,3,,,,,,spite,Sinistcha
36,3,,,,,,fraraga,Gogoat
37,3,,,,,,marviglio,Regice
38,3,,,,,,mule,Mudsdale
39,3,,,,,,marviglio,Vespiquen
40,3,,,,,,eppol,Flygon
41,3,,,,,,defava,Skarmory
42,3,,,,,,marviglio,Greedent
43,3,,,,,,mule,Manaphy
44,3,,,,,,mule,Leavanny
45,3,,,,,,mule,Sinistcha
46,3,,,,,,marviglio,Porygon2
47,3,,,,,,defava,Garchomp
48,3,,,,,,mule,Scizor
49,3,,,,,,eppol,Greedent
50,3,,,,,,eppol,Inteleon
51,3,,,,,,defava,Gliscor
52,3,,,,,,defava,Sandaconda
53,3,,,,,,spite,Rotom-Frost
54,3,,,,,,marviglio,Dipplin
55,4,,,,,,felaco,Bellossom
56,4,,,,,,marviglio,Toxapex
57,4,,,,,,marviglio,Kommo-o
58,4,,,,,,defava,Cryogonal
59,4,,,,,,defava,Cresselia
60,4,,,,,,mule,Bastiodon
